leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte,enrollment,teachers_fte,lunch_program,title1_s,title1_e,read_test,math_test
0409731,040973102501,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,72,67
0409731,040973102502,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,24.5,24.5
0409731,040973102503,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,72,82
0409731,040973102504,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,67,67
0409731,040973102505,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,57,72
0409731,040973102785,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,62,72
0409731,040973102791,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973102799,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973102816,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973102821,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,61,69
0409731,040973102825,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,10,10
0409731,040973102887,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,49,59
0409731,040973102890,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,56,64
0409731,040973102935,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,52,57
0409731,040973102967,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973102969,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,72,77
0409731,040973102981,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973102983,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973102988,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103017,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,42,57
0409731,040973103027,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103043,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103056,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103058,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103059,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103060,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103081,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,64,69
0409731,040973103087,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,61,69
0409731,040973103224,NA,NA,NA,NA,NA,NA,71,19,0,0,0,56,61
0409731,040973103468,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,95,95
0409731,040973103487,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA
0409731,040973103544,NA,NA,NA,NA,NA,NA,2,3,0,0,0,54.5,64.5
0409731,040973103548,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
0409731,040973103549,NA,NA,NA,NA,NA,NA,1,5,0,0,0,37,27
0409733,040973302219,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA
0409734,040973401521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0409734,040973401809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0409734,040973402378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0400197,040019703626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
0400197,040019703631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75
0400197,040019703632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0400341,040034103622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75
0400345,040034503589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,75
0400600,040060003599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5
0400600,040060003614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19
0400615,040061503595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0400615,040061503603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,49.5
0400615,040061503620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0400772,040077203601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,24.5
0400772,040077203610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0400772,040077203630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,69.5
0400891,040089103581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,32
0400944,040094403584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,54.5
0400944,040094403586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,55
0400959,040095903579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,39
0400976,040097603624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,24.5
0400977,040097703580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75
0400978,040097803585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,57
0400980,040098003607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,97.5
0400981,040098103605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,24.5
0402370,040237003612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,22
0402370,040237003619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,15
0403290,040329000253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,15
0405460,040546003623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0405670,040567003613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0406330,040633003578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30
0406810,040681003583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,76
0406960,040696001502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10
0407300,040730003582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,39
0408310,040831003600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,24.5
